ID,Alpha,Beta,Gamma
4623,275000,0,54603597
1213,562000,1,41430952
1443,147000,0,22678570
1877,30000,0,48208787
1377,72000,0,61620175
1506,133000,0,43044320
4794,0,0,14270530
1870,1379000,5,59441522
1853,426000,1,62455244
2573,0,0,46728569
2158,255000,1,36585645
1592,141000,0,23003244
1066,150000,1,29679484
1553,497000,2,52240132
2554,31000,0,47705999
1114,224000,0,60733860
4793,21000,0,41620553
2980,0,0,50457717
1195,30000,0,60573143
1233,391000,1,45966023
4606,501000,3,35577659
1963,64000,0,59531574
2578,0,0,60834362
1310,355000,1,40544410
1046,25000,0,62662961
2864,120000,1,36694208
2771,252000,1,34857289
1135,1014000,5,65013254
4768,649000,3,63270499
2160,0,0,36681814
4257,0,0,62723244
0,0,0,0
1739,10000,1,58593094
1782,410000,1,67482532
1569,321000,1,60465823
1793,115000,0,48850768
4763,60000,0,58014439
4255,0,0,40467346
2633,76000,0,36307450
4562,747000,4,42700564
1509,640000,1,59124928
2252,699000,15,34570722
4759,90000,0,56562304
1523,186000,4,37224826
4774,747000,9,61267947
1010,147000,0,53828415
3014,260000,1,51374735
2030,305000,0,52093233
2681,323000,1,21950477
1376,105000,0,64977491
1228,0,0,64410400
2898,2101000,17,65280133
3078,374400,0,28177419
1107,190000,0,55197854
1183,221200,1,44716945
1958,326000,2,55503462
4233,0,0,57430617
2210,60000,2,46227216
2812,0,0,62998108
1862,301000,0,42303140
2173,535000,0,56224485
1109,186000,0,40562338
2008,102000,0,60336701
1434,105000,3,38399420
1117,194000,2,27069106
1099,841000,6,45333793
2805,335000,1,57715084
2217,344000,1,42842294
2938,223000,1,59195968
1606,212000,1,41470290
1801,244000,1,46243823
2197,90000,1,41916884
1348,0,0,21179491
1703,205000,0,39487218
4238,521000,3,37939552
1777,15000,0,42047143
2573,0,0,25047574
1895,0,0,26973899
2650,246000,2,43719524
1759,0,0,52074800
2951,1306000,4,60899357
2906,145000,0,55054929
1927,0,0,14808350
2570,0,0,13696492
4803,148000,0,55278054
2092,0,0,13911996
1544,399000,0,55647299
1447,0,0,59662803
1116,170000,0,40549949
2211,0,0,58476473
3076,254000,1,55201216
1135,300000,1,47976168
0,0,0,0
1782,256000,0,58903082
1753,166000,1,46807855
1426,50000,0,48788631
1002,365000,0,28931071
2705,302000,1,46656577
2858,0,0,38133585
1589,0,0,48997473
1044,0,0,14727001
1010,0,0,58910624
1916,394000,1,38196561
2505,146000,0,41536827
1989,80000,0,44501055
4253,1005000,6,50802441
1492,670000,5,61973104
2681,526000,1,38897657
1475,225000,1,21851883
1745,30000,0,25749706
1183,473000,2,65838854
2852,142000,0,56829633
3078,75000,0,49008403
2562,1494000,14,50333744
4233,459000,2,63058326
1676,42000,0,38716163
4243,202000,3,39856127
1714,0,0,36305267
1749,210000,3,58945982
4688,60000,0,60743042
2249,774000,17,35546808
2180,92000,0,53460144
2189,265000,1,64277227
1117,188200,1,35839541
1009,744000,4,42124084
2245,410000,6,41319705
1030,398000,1,46909924
1566,125000,0,40793215
4238,308000,2,45052352
4807,0,0,43265169
4794,0,0,24594872
2721,31000,0,61539423
2066,142000,0,58998380
1213,0,0,59094938
1003,242000,0,58967192
1348,20000,0,58118681
2513,45000,0,56883961
4678,135000,0,35499037
1634,0,0,49417851
1585,162000,0,48428275
4254,225000,0,57788096
2666,334000,2,50859184
4240,203200,1,43140599
1707,342000,1,41120102
1877,195000,0,29128156
1756,691400,2,43378354
2863,0,0,45407500
2853,0,0,39205616
1033,85000,0,59211310
2211,0,0,44265173
2060,0,0,42469186
1623,185000,0,53070899
0,0,0,0
1739,105000,1,39654518
1409,225000,1,58641538
2128,0,0,59530002
1660,227000,0,58428759
2563,244000,0,43786640
2028,45000,0,43679912
1353,182000,0,26999954
1112,180000,1,63388097
2161,215000,0,61758701
1672,300000,3,54105653
1982,90000,0,63312674
4807,0,0,59185837
2584,197000,4,36876872
1376,190000,0,23212617
1917,1369000,4,34752283
1256,85000,0,46471639
2562,0,0,57753692
1947,303000,2,53046696
2802,918000,6,54267064
2249,336000,3,39524016
4561,198000,1,42416862
4263,236000,0,33375999
2189,488000,0,46263748
2594,622000,3,55096053
4601,80000,0,43647542
1627,136000,0,38593899
2655,15000,0,58129676
1237,1435000,7,42255788
1213,551000,4,45071015
1778,30000,0,44659981
4794,0,0,59731390
2008,99000,0,50367104
1859,90000,0,54261641
2725,20000,0,43056953
2516,257800,1,36226626
2573,0,0,39856899
4606,764000,8,47667177
1870,213000,1,46225825
1285,0,0,39190327
1330,336000,0,43221512
2578,30000,1,43165775
2666,384000,1,30753033
2158,150000,0,23739012
4238,850000,3,41374317
2139,211400,1,46396855
1789,85000,0,56773194
2856,5000,0,42098018
1050,1488400,4,50645491
1553,162000,0,62690145
1116,0,0,58916431
2863,36000,0,56795739
2771,1052000,3,58506498
1246,0,0,37084234
4882,105000,0,28647871
1130,93000,0,45605376
2577,0,0,43343028
1428,180000,0,35301274
2060,0,0,56647714
1537,0,0,46869423
1623,105000,0,61475725
0,0,0,0
4782,330000,1,49603977
1991,797000,1,29393245
5912,323000,0,50159457
1753,276000,2,44555014
5890,458200,2,55449413
1409,429200,0,48072162
2858,98000,0,42392321
1933,462000,1,58975130
3014,150600,1,39116931
2505,45000,0,36490592
2965,2920000,12,56960058
2970,142200,1,55875536
4788,218000,0,36570707
2928,110000,0,43993717
1183,0,0,64106975
4834,40000,0,45837752
2980,0,0,22156063
2802,326000,1,45369660
1086,231200,1,63928425
4808,147000,0,54991820
2877,5000,0,39459258
2654,0,0,38910891
1666,156000,0,47961139
1756,292000,0,22918729
5989,106000,0,28993326
3073,73000,0,43150485
1968,60000,0,33724101
4609,810400,0,42304736
1490,0,0,58006695
1045,127000,0,39510992
1794,81600,0,43173989
1211,60000,0,62721164
1102,0,0,61400308
4814,133000,0,41287554
1050,519000,0,45472840
2655,0,0,46587618
0,0,0,0
1137,1246200,5,56411029
1739,0,0,58231989
2568,54400,0,42741793
2640,1853000,9,52550414
1782,648000,3,55382020
